text	label
I had the most amazing day today and I am so grateful for everything	joy
Woke up feeling so happy and energized, ready to take on the world	joy
I got the results I worked so hard for and I feel so proud of myself	joy
Today my best friend surprised me and it made my heart so full	joy
I laughed so much today my stomach hurts and I love it	joy
Everything felt right today, like the universe was on my side	joy
I finally finished my project and the relief and joy mixed together beautifully	joy
Had coffee with my family this morning and I felt so loved and warm	joy
I aced my presentation today and my lecturer actually complimented me	joy
Went out for a birthday dinner and the whole night was just perfect	joy
Feeling so blessed and happy right now, life is genuinely good	joy
My crush smiled at me today and I have been smiling ever since	joy
I woke up early and the sunrise was so beautiful it made me tear up from happiness	joy
Just booked a trip I have been dreaming about for so long, pure excitement	joy
Received an unexpected compliment from someone I admire and it made my whole week	joy
I feel so alive today, like everything is falling into place	joy
Got promoted at my internship and I could not stop grinning the whole way home	joy
My mom cooked my favourite meal and we talked for hours, I feel so loved	joy
Finally submitted my assignment early for once and the relief is amazing	joy
I spent the afternoon with people I love and I feel completely recharged	joy
Today everything I touched turned to gold, I feel unstoppable	joy
I feel so grateful and happy, I keep smiling for no reason at all	joy
Passed my exam with a grade better than I expected, so happy right now	joy
Had an amazing workout and I feel strong and proud of my body today	joy
My group project went better than expected and my team actually celebrated together	joy
I woke up this morning feeling so refreshed and genuinely happy	joy
Life feels beautiful today and I want to hold onto this feeling forever	joy
Just got great news and I cannot stop jumping around my room	joy
My friends threw me a small surprise and I felt so seen and appreciated	joy
I feel content and at peace, like today was exactly what I needed	joy
I am so happy right now I feel like dancing around my room	joy
Everything went better than I expected today and I feel so relieved and joyful	joy
I feel grateful to be alive and surrounded by so much good	joy
My hard work finally paid off and I feel such pure satisfaction	joy
Had an unexpected fun conversation that completely brightened my mood	joy
I feel light and carefree today, like a weight has been lifted off me	joy
Today made me realize how many good things I have in my life	joy
I woke up with genuine excitement about what the day had in store	joy
I feel loved and supported by the people around me today	joy
Everything I touched today seemed to go right and I feel great	joy
I feel so connected to the people I care about right now	joy
Today I caught myself smiling for no reason and I love that feeling	joy
I feel so proud of the progress I have made and excited about what is ahead	joy
Had a heart to heart conversation with someone I love and felt so joyful	joy
The sun was out and I felt genuinely happy to be outside today	joy
I finished something hard and the achievement feels incredible	joy
I feel like good things are coming and I am excited and hopeful	joy
A kind stranger made my day better and I am still smiling about it	joy
Today I chose happiness and it felt real not forced	joy
I laughed more today than I have in weeks and my heart feels lighter	joy
Today I sat by the window and read my favourite book, it was perfect	calm
I took a long slow walk in the park and my mind finally felt quiet	calm
Everything felt slow and gentle today, I needed that kind of peace	calm
I meditated for the first time in weeks and my whole body released tension	calm
The rain outside made everything feel so cozy and I felt completely at ease	calm
I spent the afternoon alone with my thoughts and it felt healing not lonely	calm
I lit a candle and journaled for an hour and I feel so grounded now	calm
